price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,link
32923968.0,2025.0,NWAR,70.4,35.7,19.0,29.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/289786214/
11900000.0,20.0,SEAR,38.51,,18.0,21.0,2024.0,1.0,1.0,3.0,2.0,https://www.cian.ru/sale/flat/299244406/
31044068.0,7.0,SAR,60.3,29.3,30.0,40.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/293203948/
27813044.0,4.0,NWAR,62.09,29.6,51.0,52.0,2024.0,1.0,0.0,2.85,2.0,https://www.cian.ru/sale/flat/285042234/
12900000.0,17.0,SEAR,41.54,,8.0,21.0,2024.0,1.0,1.0,3.0,2.0,https://www.cian.ru/sale/flat/298554168/
15961450.0,4.0,EAR,35.3,20.2,6.0,29.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/298055188/
28657590.0,11.0,SWAR,59.1,31.4,27.0,34.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300673465/
78120660.0,6.0,NWAR,90.1,,2.0,9.0,2023.0,1.0,0.0,3.25,2.0,https://www.cian.ru/sale/flat/299261520/
23700476.0,24.0,WAR,60.4,27.5,5.0,21.0,2023.0,1.0,0.0,2.74,2.0,https://www.cian.ru/sale/flat/294232255/
15800000.0,17.0,SEAR,47.73,,7.0,21.0,2024.0,1.0,1.0,3.0,2.0,https://www.cian.ru/sale/flat/298189595/
118150000.0,6.0,NWAR,107.2,32.9,2.0,3.0,2023.0,1.0,1.0,3.1,2.0,https://www.cian.ru/sale/flat/300415740/
173610717.0,9.0,CAR,126.3,,9.0,15.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/272819965/
30828160.0,4.0,SWAR,85.4,,18.0,24.0,2022.0,1.0,1.0,,2.0,https://www.cian.ru/sale/flat/294637306/
21000000.0,9.0,NEAR,55.0,29.0,19.0,20.0,2019.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/297093635/
35127607.0,4.0,CAR,69.6,,7.0,10.0,2024.0,1.0,1.0,3.0,2.0,https://www.cian.ru/sale/flat/300483969/
29663214.0,4.0,NWAR,60.62,28.7,46.0,52.0,2024.0,1.0,0.0,2.85,2.0,https://www.cian.ru/sale/flat/299067050/
157144346.0,8.0,CAR,124.9,,8.0,13.0,2013.0,1.0,1.0,3.15,2.0,https://www.cian.ru/sale/flat/297286591/
29612067.0,24.0,SAR,53.9,24.2,11.0,16.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/293204034/
30707300.0,2.0,SWAR,65.0,,2.0,25.0,2024.0,1.0,0.0,3.65,2.0,https://www.cian.ru/sale/flat/294550150/
16400000.0,18.0,SEAR,58.0,,4.0,15.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/300887458/
26649000.0,,NWAR,56.7,,47.0,47.0,2023.0,1.0,0.0,3.05,2.0,https://www.cian.ru/sale/flat/296745635/
42230000.0,10.0,WAR,51.3,33.7,15.0,32.0,2024.0,1.0,1.0,,2.0,https://www.cian.ru/sale/flat/299758707/
52251760.0,7.0,NWAR,76.4,29.6,14.0,15.0,2023.0,1.0,0.0,3.23,2.0,https://www.cian.ru/sale/flat/299578034/
